letter,book,frequency
a,WarPeace,0.65287
b,WarPeace,0.10994
c,WarPeace,0.19549
d,WarPeace,0.37524
e,WarPeace,1.00000
f,WarPeace,0.17414
g,WarPeace,0.16282
h,WarPeace,0.53105
i,WarPeace,0.55287
j,WarPeace,0.00817
k,WarPeace,0.06481
l,WarPeace,0.30621
m,WarPeace,0.19556
n,WarPeace,0.58425
o,WarPeace,0.61186
p,WarPeace,0.14444
q,WarPeace,0.00739
r,WarPeace,0.47085
s,WarPeace,0.51674
t,WarPeace,0.71822
u,WarPeace,0.20757
v,WarPeace,0.08592
w,WarPeace,0.18782
x,WarPeace,0.01391
y,WarPeace,0.14677
z,WarPeace,0.00757
a,Beowulf,0.52380
b,Beowulf,0.11967
c,Beowulf,0.15229
d,Beowulf,0.33874
e,Beowulf,1.00000
f,Beowulf,0.21366
g,Beowulf,0.20244
h,Beowulf,0.49542
i,Beowulf,0.44542
j,Beowulf,0.01434
k,Beowulf,0.04617
l,Beowulf,0.31989
m,Beowulf,0.17065
n,Beowulf,0.48705
o,Beowulf,0.54685
p,Beowulf,0.10214
q,Beowulf,0.00717
r,Beowulf,0.49809
s,Beowulf,0.45739
t,Beowulf,0.63607
u,Beowulf,0.18033
v,Beowulf,0.06404
w,Beowulf,0.18063
x,Beowulf,0.01498
y,Beowulf,0.10905
z,Beowulf,0.00252
a,BertrandRussell,0.57239
b,BertrandRussell,0.13804
c,BertrandRussell,0.25954
d,BertrandRussell,0.23800
e,BertrandRussell,1.00000
f,BertrandRussell,0.17714
g,BertrandRussell,0.12609
h,BertrandRussell,0.42703
i,BertrandRussell,0.59018
j,BertrandRussell,0.01917
k,BertrandRussell,0.04621
l,BertrandRussell,0.29270
m,BertrandRussell,0.16938
n,BertrandRussell,0.54371
o,BertrandRussell,0.57840
p,BertrandRussell,0.16479
q,BertrandRussell,0.01370
r,BertrandRussell,0.41733
s,BertrandRussell,0.53376
t,BertrandRussell,0.75781
u,BertrandRussell,0.21825
v,BertrandRussell,0.07799
w,BertrandRussell,0.18283
x,BertrandRussell,0.02117
y,BertrandRussell,0.12084
z,BertrandRussell,0.00186
a,Shakespeare,0.64623
b,Shakespeare,0.13861
c,Shakespeare,0.19766
d,Shakespeare,0.33405
e,Shakespeare,1.00000
f,Shakespeare,0.18017
g,Shakespeare,0.15281
h,Shakespeare,0.52881
i,Shakespeare,0.56816
j,Shakespeare,0.01083
k,Shakespeare,0.07920
l,Shakespeare,0.37974
m,Shakespeare,0.24902
n,Shakespeare,0.54404
o,Shakespeare,0.70362
p,Shakespeare,0.13119
q,Shakespeare,0.00800
r,Shakespeare,0.53234
s,Shakespeare,0.55627
t,Shakespeare,0.73769
u,Shakespeare,0.28827
v,Shakespeare,0.08391
w,Shakespeare,0.19976
x,Shakespeare,0.01178
y,Shakespeare,0.21093
z,Shakespeare,0.00363
